id,smoking
159256,0.59963304
159257,0.27501574
159258,0.41221604
159259,0.028300086
159260,0.5893494
159261,0.9452666
159262,0.47189987
159263,0.056659687
159264,0.16740392
159265,0.016337454
159266,0.43321317
159267,0.17703798
159268,0.0038744227
159269,0.09154373
159270,0.015293882
159271,0.72546375
159272,0.8714888
159273,0.7823559
159274,0.041733865
159275,0.35326332
159276,0.26592016
159277,0.91542375
159278,0.59707683
159279,0.8868868
159280,0.0647111
159281,0.91163635
159282,0.8138157
159283,0.7072786
159284,0.6509242
159285,0.0025960773
159286,0.6673531
159287,0.01485223
159288,0.14969331
159289,0.6773388
159290,0.5510026
159291,0.48876333
159292,0.030906415
159293,0.08878615
159294,0.19060238
159295,0.63834625
159296,0.7270572
159297,0.0046530426
159298,0.2918981
159299,0.004785767
159300,0.006081331
159301,0.012878699
159302,0.0782503
159303,0.14981934
159304,0.2374164
159305,0.6932599
159306,0.80944437
159307,0.2630334
159308,0.46215156
159309,0.0915056
159310,0.60026735
159311,0.6384202
159312,0.3251665
159313,0.6620304
159314,0.8288081
159315,0.55324584
159316,0.011654005
159317,0.60637414
159318,0.29608846
159319,0.7198923
159320,0.71312755
159321,0.14673145
159322,0.79691744
159323,0.59821934
159324,0.5476047
159325,0.5446873
159326,0.72252816
159327,0.66943604
159328,0.5003426
159329,0.3920605
159330,0.014730185
159331,0.8494005
159332,0.009742442
159333,0.002551518
159334,0.44500303
159335,0.14667235
159336,0.5074427
159337,0.8721984
159338,0.46271294
159339,0.8963658
159340,0.49216363
159341,0.86601776
159342,0.71910334
159343,0.36748028
159344,0.48167008
159345,0.009562559
159346,0.58072096
159347,0.74926984
159348,0.77981246
159349,0.004679477
159350,0.02247741
159351,0.69461244
159352,0.66879463
159353,0.34234878
159354,0.008966952
159355,0.8244938
159356,0.75624824
159357,0.84403855
159358,0.4248325
159359,0.7571639
159360,0.043428075
159361,0.71688557
159362,0.019002782
159363,0.7694457
159364,0.67870003
159365,0.7463126
159366,0.003396078
159367,0.52792937
159368,0.44225258
159369,0.7194611
159370,0.40825313
159371,0.4641354
159372,0.18909587
159373,0.75985855
159374,0.3996186
159375,0.8807636
159376,0.77470684
159377,0.0021800334
159378,0.71688884
159379,0.43948886
159380,0.16965248
159381,0.04847362
159382,0.41294265
159383,0.015119107
159384,0.6197065
159385,0.049070623
159386,0.5987956
159387,0.9066474
159388,0.5506791
159389,0.0014618586
159390,0.6701982
159391,0.29651758
159392,0.7607696
159393,0.018994926
159394,0.14765021
159395,0.9124371
159396,0.895175
159397,0.71096027
159398,0.86137545
159399,0.8287957
159400,0.5409378
159401,0.7946152
159402,0.015133991
159403,0.016174044
159404,0.8629007
159405,0.025454476
159406,0.05575172
159407,0.013404712
159408,0.0034627519
159409,0.8058192
159410,0.5828947
159411,0.8125353
159412,0.6791985
159413,0.80893683
159414,0.10560692
159415,0.4299715
159416,0.44274065
159417,0.403145
159418,0.7860294
159419,0.023401111
159420,0.69469714
159421,0.5683795
159422,0.16516529
159423,0.009546388
159424,0.022582458
159425,0.65466565
159426,0.040931884
159427,0.044734117
159428,0.0021858322
159429,0.09387087
159430,0.011677452
159431,0.793183
159432,0.025356967
159433,0.046130072
159434,0.40312082
159435,0.5442328
159436,0.7910348
159437,0.08452468
159438,0.6725861
159439,0.23402679
159440,0.048706137
159441,0.93795145
159442,0.1915695
159443,0.01506996
159444,0.036080606
159445,0.624721
159446,0.8262771
159447,0.4812261
159448,0.7960116
159449,0.50070393
159450,0.0039564986
159451,0.8842259
159452,0.5311739
159453,0.02517509
159454,0.39478463
159455,0.86478746
159456,0.004824481
159457,0.2813141
159458,0.60117304
159459,0.52833855
159460,0.07995646
159461,0.580739
159462,0.10612181
159463,0.020025097
159464,0.46115577
159465,0.27763215
159466,0.047557022
159467,0.7338958
159468,0.8618162
159469,0.61065227
159470,0.8788718
159471,0.67689496
159472,0.771203
159473,0.09417152
159474,0.42753962
159475,0.32621536
159476,0.010338349
159477,0.0719608
159478,0.70889914
159479,0.11052439
159480,0.4522519
159481,0.06789413
159482,0.74629205
159483,0.022747355
159484,0.02397507
159485,0.4984257
159486,0.07948914
159487,0.04941606
159488,0.5132656
159489,0.045121927
159490,0.54208875
159491,0.8189827
159492,0.17218782
159493,0.7582758
159494,0.010038172
159495,0.0023536696
159496,0.71063036
159497,0.39395285
159498,0.31576192
159499,0.6561435
159500,0.14073238
159501,0.5112518
159502,0.7926584
159503,0.018281965
159504,0.5561531
159505,0.013620233
159506,0.7813332
159507,0.6503459
159508,0.8039006
159509,0.92914146
159510,0.02286078
159511,0.0040295892
159512,0.023104101
159513,0.18886362
159514,0.114243776
159515,0.5187159
159516,0.75042963
159517,0.01560519
159518,0.010944551
159519,0.0862514
159520,0.11242013
159521,0.9107128
159522,0.6845655
159523,0.0050930604
159524,0.82999223
159525,0.0066882716
159526,0.24891376
159527,0.007867586
159528,0.40446043
159529,0.8059313
159530,0.58078
159531,0.076200016
159532,0.95440465
159533,0.82384944
159534,0.6234129
159535,0.5595096
159536,0.014516821
159537,0.25483266
159538,0.67304236
159539,0.782352
159540,0.0055261324
159541,0.23945335
159542,0.30255622
159543,0.0056402287
159544,0.4938512
159545,0.51334614
159546,0.4194749
159547,0.6417643
159548,0.6357048
