id,smoking
159256,0.5812149850438645
159257,0.19736311059539266
159258,0.6222919316485506
159259,0.1521486686224332
159260,0.5871463172082415
159261,0.6467123928718463
159262,0.5727014847603755
159263,0.1690005398573019
159264,0.16973551984019394
159265,0.21197000631516874
159266,0.461917219499841
159267,0.22513092977007546
159268,0.07813650161604643
159269,0.3004879361411583
159270,0.07637900357276306
159271,0.6726898161802152
159272,0.6710303810609201
159273,0.6558599204178083
159274,0.08556622250103713
159275,0.4659822129556076
159276,0.593805534569962
159277,0.6418701076131396
159278,0.5616690898467066
159279,0.6603695744090875
159280,0.1292223601848147
159281,0.5600570902308732
159282,0.6795359466487926
159283,0.6647228636363607
159284,0.6794365446690176
159285,0.08560427390873203
159286,0.6618954791763809
159287,0.08419664171680123
159288,0.1575366114630464
159289,0.6001078782553361
159290,0.5006231607161332
159291,0.6197690305641853
159292,0.20225970081895753
159293,0.16659360037461124
159294,0.5040289028024506
159295,0.5382487019354961
159296,0.6884631988108842
159297,0.09390689676951135
159298,0.412698333230176
159299,0.08410002766167998
159300,0.10551922490209772
159301,0.22385704902212478
159302,0.11548123095344778
159303,0.18419387413037028
159304,0.4940438372949161
159305,0.6701753763402435
159306,0.5405688341202064
159307,0.25674031370705647
159308,0.5601624589474298
159309,0.1978115356742694
159310,0.505819945312226
159311,0.6719810835947899
159312,0.49419205123755006
159313,0.523166636139906
159314,0.5774280140862224
159315,0.6742662751944313
159316,0.07783066648595108
159317,0.5937339168106848
159318,0.5541708448583215
159319,0.5690348742669754
159320,0.6408670944883561
159321,0.35884860050084383
159322,0.6465408840525587
159323,0.5351758984718489
159324,0.4237665103047382
159325,0.571313939894463
159326,0.5544280045271308
159327,0.5874062394818451
159328,0.27169822226067125
159329,0.5340699155214935
159330,0.13632811430268382
159331,0.4907938434907608
159332,0.07909570360111987
159333,0.08435123659909868
159334,0.12609622067827322
159335,0.12311691617219081
159336,0.5615807358471394
159337,0.5126987975629834
159338,0.5791024693579211
159339,0.6708770832140324
159340,0.6159421215972052
159341,0.6835266719061456
159342,0.6623615485255692
159343,0.585471957249558
159344,0.4423553248946629
159345,0.1167834530677796
159346,0.5693956075450861
159347,0.6462496553042485
159348,0.6092672003613676
159349,0.13598033526496253
159350,0.08416373991519226
159351,0.6435101840914236
159352,0.40438862343900345
159353,0.4651021180906907
159354,0.14708001215208139
159355,0.4389260326857948
159356,0.6896965300099661
159357,0.6594526217628125
159358,0.46506420169463913
159359,0.6204804130593033
159360,0.09625213928335304
159361,0.6689743721822441
159362,0.08175872772200657
159363,0.5804338915158097
159364,0.6098797587692498
159365,0.6537412317770394
159366,0.08063339585318216
159367,0.5699616024496081
159368,0.5352467066927931
